pathogen_drug,model,n,resistant,susceptible,cv_folds,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
Neisseria meningitidis + penicillin,logistic_regression,654,40,614,5,0.5,0.0,0.0,0.0,0.5,0.0
Neisseria meningitidis + penicillin,random_forest,654,40,614,5,0.5,0.0,0.0,0.0,0.5,0.0
Proteus mirabilis + ampicillin,logistic_regression,40,32,8,5,0.7404761904761905,0.14293648590289176,0.6033333333333333,0.2436755584332942,0.7404761904761905,0.14293648590289176
Proteus mirabilis + ampicillin,random_forest,40,32,8,5,0.7404761904761905,0.14293648590289176,0.6033333333333333,0.2436755584332942,0.7404761904761905,0.14293648590289176
Proteus mirabilis + meropenem,logistic_regression,36,5,31,5,0.7,0.2449489742783178,0.4,0.48989794855663565,0.8214285714285715,0.1706995078946183
Proteus mirabilis + meropenem,random_forest,36,5,31,5,0.7,0.2449489742783178,0.4,0.48989794855663565,0.8047619047619048,0.19541223360650656
Pseudomonas aeruginosa + colistin,logistic_regression,812,136,676,5,0.5705423280423281,0.035346964669016115,0.2823562183494087,0.06029317405522639,0.546712228101117,0.08009925941816207
Pseudomonas aeruginosa + colistin,random_forest,812,136,676,5,0.5463352007469654,0.02163691931115219,0.22223779235407143,0.052228624101927135,0.46989513089186286,0.03535204904706171
Pseudomonas aeruginosa + doripenem,logistic_regression,125,90,35,5,0.6873015873015873,0.04856209060564556,0.6270470219435736,0.09809509491337436,0.7952380952380953,0.06737155691969587
Pseudomonas aeruginosa + doripenem,random_forest,125,90,35,5,0.6936507936507936,0.05396825396825395,0.6028045977011494,0.06461829753052273,0.8015873015873016,0.05583828285504081
Pseudomonas aeruginosa + imipenem,logistic_regression,742,488,254,5,0.6459653222113587,0.02213109597555884,0.7801975183254587,0.021568781999478093,0.7159790679158261,0.01921716061266447
Pseudomonas aeruginosa + imipenem,random_forest,742,488,254,5,0.6504124618919733,0.018237224835782162,0.7741170986207002,0.025068594269481898,0.7207425568165411,0.014608949929858707
Pseudomonas aeruginosa + imipenem-relebactam,logistic_regression,45,27,18,5,0.7633333333333333,0.1107549848389077,0.722063492063492,0.12022947740084217,0.7816666666666666,0.1332129085800084
Pseudomonas aeruginosa + imipenem-relebactam,random_forest,45,27,18,5,0.7466666666666667,0.10509255180289635,0.6953968253968255,0.11464274038904645,0.8027777777777777,0.12469716402568821
Pseudomonas aeruginosa + meropenem,logistic_regression,1420,902,518,5,0.6265272385180662,0.022845257294037417,0.6826541866348081,0.057682937169070046,0.7125853465886923,0.011260481472138496
Pseudomonas aeruginosa + meropenem,random_forest,1420,902,518,5,0.6495016770346653,0.015115843260595549,0.6412350849014893,0.011994034533382122,0.7143831748563082,0.014059358776444165
Salmonella enterica + amoxicillin,logistic_regression,137,20,117,5,0.5,0.0,0.15483870967741936,0.1264252770468737,0.5,0.0
Salmonella enterica + amoxicillin,random_forest,137,20,117,5,0.5,0.0,0.0,0.0,0.5,0.0
Salmonella enterica + ampicillin,logistic_regression,28016,5759,22257,5,0.5296022266970554,0.0038822410616659374,0.15437680543862414,0.009826934927290332,0.5332962234159223,0.0039623336159167535
Salmonella enterica + ampicillin,random_forest,28016,5759,22257,5,0.5296297231491383,0.0030575301047178717,0.1528126791546301,0.0076486943004355065,0.5336775614746174,0.0024923566076342535
Salmonella enterica + chloramphenicol,logistic_regression,28084,3217,24867,5,0.5312809317632388,0.004402421314099952,0.129972718379283,0.01221044478084064,0.543507788753914,0.004175336243951097
Salmonella enterica + chloramphenicol,random_forest,28084,3217,24867,5,0.5304329334886628,0.004381613442925545,0.1253490278041442,0.011641479921044326,0.5411806965465661,0.0034119931127401405
